,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
596,Aurum,aurum,aurum,11585,9214,37216,58015
526,Argentum,argentum,argentum,10388,7566,23030,40984
29,Oleum,oleum,oleum,10016,12829,28096,50941
2277,Sal,sal,sal,9028,12636,12520,34184
96,Metallum,metallum,metallum,9026,7323,5847,22196
27,Mercurius,mercurius,mercurius,7928,8729,4942,21599
10,Sulphur,sulphur,sulphur,6960,4367,2719,14046
1200,Elementum,elementum,elementum,6959,9276,23583,39818
18,Essentia,essentia,essentia,5330,5000,54270,64600
197,Aer,aer,aer,5124,27774,43181,76079
2160,Puluis,puluis,puluis,4269,5977,16356,26602
2764,Vncia,uncia,uncia,4197,3076,2390,9663
1522,Humor,humor,humor,4010,14790,12987,31787
89,Luna,luna,luna,3595,29528,32640,65763
156,Acetum,acetum,acetum,3481,5730,7157,16368
2208,Radix,radix,radix,3149,23101,27729,53979
2549,Succus,succus,succus,3120,13361,4187,20668
946,Cinis,cinis,cinis,2637,3940,6310,12887
1325,Flos,flos,flos,2588,18101,21287,41976
795,Calx,calx,calx,2565,3330,1434,7329
1199,Elementa,elementa,elementa,2564,2652,8697,13913
205,Aes,aes,aes,2440,1774,3676,7890
2755,Vitrum,uitrum,uitrum,2421,4915,2892,10228
108,Plumbum,plumbum,plumbum,2339,2383,2785,7507
2719,Venenum,uenenum,uenenum,2266,3534,12387,18187
26,Magisterium,magisterium,magisterium,2220,466,3722,6408
264,Album,album,album,2172,3516,11533,17221
119,Solutio,solutio,solutio,2149,2836,16614,21599
2223,Rebus,rebus,rebus,2128,7848,81460,91436
11,Tinctura,tinctura,tinctura,2075,1080,315,3470
199,Aeris,aeris,aeris,2006,9172,10496,21674
2751,Vitriolum,uitriolum,uitriolum,1946,1713,118,3777
2541,Sublimatio,sublimatio,sublimatio,1914,346,122,2382
38,Vrina,urina,urina,1911,9209,4482,15602
1010,Compositio,compositio,compositio,1889,3831,15620,21340
7,Digestio,digestio,digestio,1871,858,1586,4315
65,Fermentum,fermentum,fermentum,1826,629,3374,5829
2694,Vapor,uapor,uapor,1785,4966,5594,12345
33,Quinta essentia,quinta essentia,quintus essentia,1781,516,86,2383
2731,Verto,uerto,uerto,1772,5189,26869,33830
539,Artifex,artifex,artifex,1765,2649,11200,15614
129,Vena,uena,uena,1742,15590,8154,25486
57,Destillatio,destillatio,destillatio,1719,718,390,2827
1727,Libra,libra,libra,1703,4836,7070,13609
1292,Ferrum,ferrum,ferrum,1686,4580,19958,26224
2052,Ouum,ouum,ouum,1568,5229,4346,11143
2767,Vnguentum,unguentum,unguentum,1535,2258,8384,12177
1363,Fornax,fornax,fornax,1522,1687,3494,6703
2147,Principia,principia,principia,1510,3114,17056,21680
15,Alumen,alumen,alumen,1506,1795,900,4201
3,Elixir,elixir,elixir,1455,599,74,2128
1067,Cucurbita,cucurbita,cucurbita,1410,995,1200,3605
2254,Rosa,rosa,rosa,1341,3456,5312,10109
316,Aliter,aliter,aliter,1324,7180,52478,60982
534,Arsenicum,arsenicum,arsenicum,1254,983,67,2304
649,Balsamum,balsamum,balsamum,1251,1521,1657,4429
1585,Instrumentum,instrumentum,instrumentum,1214,8248,17859,27321
256,Albi,albi,albi,1213,1927,2179,5319
754,Calcinatio,calcinatio,calcinatio,1191,349,67,1607
1383,Fumus,fumus,fumus,1171,2191,7738,11100
1262,Extractum,extractum,extractum,1170,1388,846,3404
1394,Furnus,furnus,furnus,1154,605,837,2596
903,Cerebrum,cerebrum,cerebrum,1148,10086,7882,19116
9,Putrefactio,putrefactio,putrefactio,1093,545,396,2034
462,Antimonium,antimonium,antimonium,1082,963,64,2109
509,Archeus,archeus,archeus,1022,64,2,1088
2133,Porro,porro,porro,1010,9003,32791,42804
1929,Mos,mos,mos,974,13173,65432,79579
369,Alterum,alterum,alterum,972,9317,39316,49605
1224,Ens,ens,ens,958,4010,46202,51170
16,Distillatio,distillatio,distillatio,955,484,150,1589
1832,Mars,mars,mars,951,5248,11251,17450
1412,Fusio,fusio,fusio,940,410,105,1455
519,Arena,arena,arena,938,2880,5702,9520
2352,Saturnus,saturnus,saturnus,931,4560,3645,9136
494,Aqua vitae,aqua uitae,aqua uita,922,194,195,1311
1948,Mysterium,mysterium,mysterium,919,1580,37371,39870
121,Stannum,stannum,stannum,899,859,615,2373
2593,Tartarus,tartarus,tartarus,889,517,677,2083
1659,Lapides,lapides,lapides,884,3083,10727,14694
2064,Pannus,pannus,pannus,878,1194,5486,7558
1080,Cuprum,cuprum,cuprum,826,893,341,2060
80,Lamina,lamina,lamina,792,1602,1856,4250
972,Coagulatio,coagulatio,coagulatio,780,280,154,1214
1874,Menstruum,menstruum,menstruum,769,1978,796,3543
1085,Cutis,cutis,cutis,750,7708,6102,14560
2,Nitrum,nitrum,nitrum,728,3205,1371,5304
63,Extractio,extractio,extractio,709,543,137,1389
2552,Sudor,sudor,sudor,703,2973,6239,9915
478,Aqua fortis,aqua fortis,aqua fortis,684,308,62,1054
70,Fixio,fixio,fixio,651,108,73,832
105,Officina,officina,officina,649,3124,2442,6215
90,Magister,magister,magister,644,1993,45913,48550
1907,Mistio,mistio,mistio,643,540,164,1347
2441,Signo,signo,signo,638,3934,33120,37692
1998,Olea,olea,olea,632,1311,9762,11705
131,Venus,uenus,uenus,631,2845,2594,6070
1009,Complexio,complexio,complexio,609,812,5166,6587
2581,Tabula,tabula,tabula,601,12812,18026,31439
2564,Superficies,superficies,superficies,600,10999,14483,26082
2732,Vesica,uesica,uesica,593,2620,1580,4793
2599,Temperamentum,temperamentum,temperamentum,577,2180,2188,4945
955,Circulus,circulus,circulus,571,22842,18629,42042
1339,Focus,focus,focus,571,1194,2868,4633
1970,Nigrum,nigrum,nigrum,569,3280,4199,8048
2686,Turba,turba,turba,568,1299,28182,30049
1838,Masculus,masculus,masculus,564,1464,7418,9446
1903,Mineralia,mineralia,mineralia,559,411,144,1114
2030,Orbis,orbis,orbis,551,15850,49321,65722
575,Atramentum,atramentum,atramentum,543,1243,1006,2792
1732,Ligo,ligo,ligo,527,2086,18520,21133
1016,Congelatio,congelatio,congelatio,525,324,171,1020
1763,Lotium,lotium,lotium,524,782,415,1721
69,Fistula,fistula,fistula,523,3129,2970,6622
2761,Vmbra,umbra,umbra,516,7414,26862,34792
2524,Stibium,stibium,stibium,513,551,221,1285
1984,Nutrimentum,nutrimentum,nutrimentum,494,1883,4044,6421
1900,Minera,minera,minera,491,527,71,1089
1960,Naris,naris,naris,488,5074,6921,12483
2469,Solutum,solutum,solutum,485,504,2238,3227
358,Aloe,aloe,aloe,485,1389,984,2858
2149,Proiectio,proiectio,proiectio,484,235,97,816
2285,Sal armoniacus,sal armoniacus,sal armoniacus,483,203,9,695
2631,Theriaca,theriaca,theriaca,482,1510,125,2117
113,Radius,radius,radius,474,8656,13622,22752
1345,Folia,folia,folia,468,12012,4751,17231
1698,Lapis philosophorum,lapis philosophorum,lapis philosophus,467,136,0,603
435,Anatomia,anatomia,anatomia,456,1102,141,1699
1757,Lixiuium,lixiuium,lixiuium,447,643,124,1214
829,Capillus,capillus,capillus,446,2090,8713,11249
45,Auripigmentum,auripigmentum,auripigmentum,442,477,229,1148
2237,Resina,resina,resina,437,1935,1442,3814
1548,Ignitio,ignitio,ignitio,433,110,22,565
2017,Operculum,operculum,operculum,423,982,504,1909
1805,Magnes,magnes,magnes,412,2295,1257,3964
1275,Feces,feces,feces,412,152,249,813
99,Mistura,mistura,mistura,410,507,210,1127
1557,Imaginatio,imaginatio,imaginatio,408,1752,7132,9292
272,Alchimia,alchimia,alchimia,408,82,58,548
602,Aurum potabile,aurum potabile,aurum potabilis,405,72,5,482
53,Canalis,canalis,canalis,404,2588,1418,4410
2773,Volatile,uolatile,uolatile,404,429,177,1010
1161,Draco,draco,draco,402,2615,8871,11888
2224,Receptaculum,receptaculum,receptaculum,394,891,1878,3163
46,Balneum Mariae,balneum mariae,balneum maria,379,24,6,409
132,Albertus,albertus,albertus,365,3976,3775,8116
965,Clarum,clarum,clarum,363,843,3605,4811
1317,Firmamentum,firmamentum,firmamentum,358,1485,8447,10290
1845,Materia prima,materia prima,materia primus,357,263,1875,2495
1932,Mumia,mumia,mumia,353,265,36,654
1003,Combustio,combustio,combustio,348,254,1016,1618
2440,Sigillum,sigillum,sigillum,347,924,5396,6667
64,Fermentatio,fermentatio,fermentatio,340,602,40,982
1741,Liquefactio,liquefactio,liquefactio,331,111,79,521
1597,Iupiter,iupiter,iupiter,330,1009,1535,2874
2065,Paries,paries,paries,329,2355,13587,16271
48,Bolus,bolus,bolus,326,500,149,975
4,Magnesia,magnesia,magnesia,326,253,131,710
1786,Magia,magia,magia,317,1453,443,2213
1679,Lapillus,lapillus,lapillus,317,1441,1258,3016
1255,Exhalatio,exhalatio,exhalatio,316,1957,459,2732
1320,Fixatio,fixatio,fixatio,313,94,6,413
1377,Fuligo,fuligo,fuligo,309,697,577,1583
2378,Scoria,scoria,scoria,305,328,568,1201
56,Coagulum,coagulum,coagulum,302,490,416,1208
789,Calor naturalis,calor naturalis,calor naturalis,301,275,871,1447
19,Exaltatio,exaltatio,exaltatio,300,318,2679,3297
1254,Excrementa,excrementa,excrementa,293,1116,384,1793
2307,Sal petrae,sal petrae,sal petra,291,80,10,381
125,Testa,testa,testa,290,3303,9984,13577
1015,Confusio,confusio,confusio,286,906,13148,14340
1857,Medulla,medulla,medulla,282,3831,4106,8219
319,Alkali,alkali,alkali,279,200,0,479
2503,Spuma,spuma,spuma,276,1708,1741,3725
953,Circulatio,circulatio,circulatio,274,763,676,1713
2092,Phiala,phiala,phiala,274,354,1646,2274
1734,Lilium,lilium,lilium,270,1711,6166,8147
1939,Murus,murus,murus,269,3058,26088,29415
143,Ablutio,ablutio,ablutio,265,125,1942,2332
266,Alcali,alcali,alcali,254,420,7,681
2256,Rota,rota,rota,250,1793,6927,8970
2303,Sal nitri,sal nitri,sal nitrum,249,103,31,383
1570,Inclinatio,inclinatio,inclinatio,249,2808,5447,8504
1577,Influentia,influentia,influentia,249,301,1204,1754
1240,Essentia quinta,essentia quinta,essentia quintus,249,37,2,288
1348,Follis,follis,follis,244,608,797,1649
98,Minium,minium,minium,243,748,599,1590
1259,Expressio,expressio,expressio,243,631,1252,2126
1560,Imbibitio,imbibitio,imbibitio,241,35,4,280
1419,Gallicus,gallicus,gallicus,239,3226,5559,9024
1265,Faba,faba,faba,236,1613,1777,3626
1037,Corallus,corallus,corallus,234,133,38,405
83,Lapis philosophicus,lapis philosophicus,lapis philosophicus,227,128,3,358
8,Pilum,pilum,pilum,222,2375,2083,4680
97,Minister,minister,minister,220,1041,30073,31334
1112,Deliquium,deliquium,deliquium,211,750,247,1208
2364,Saxum,saxum,saxum,211,3693,11796,15700
2200,Quintum,quintum,quintum,208,1179,9769,11156
2654,Tingere,tingere,tingere,208,174,183,565
503,Arbores,arbores,arbores,205,2912,4946,8063
920,Chaos,chaos,chaos,205,354,1743,2302
1169,Duelech,duelech,duelech,203,19,0,222
557,Assatio,assatio,assatio,201,78,24,303
825,Cano,cano,cano,200,3043,19331,22574
5,Aquila,aquila,aquila,200,3649,9629,13478
2691,Tutia,tutia,tutia,199,262,22,483
2500,Spongia,spongia,spongia,198,1370,1228,2796
1011,Concha,concha,concha,197,2605,1430,4232
2327,Salsa,salsa,salsa,187,888,828,1903
943,Cineritium,cineritium,cineritium,185,95,3,283
1313,Fimus equinus,fimus equinus,fimus equinus,185,56,16,257
174,Addere,addere,addere,184,873,4293,5350
871,Catinus,catinus,catinus,180,161,53,394
1131,Descensum,descensum,descensum,175,328,922,1425
2714,Venam,uenam,uenam,175,1676,288,2139
2245,Retorta,retorta,retorta,173,130,503,806
1558,Imagines,imagines,imagines,172,1734,6721,8627
423,Ambra,ambra,ambra,171,622,134,927
2448,Simus,simus,simus,171,2697,11178,14046
1817,Manna,manna,manna,170,1089,4981,6240
419,Amalgama,amalgama,amalgama,170,26,3,199
2534,Stratum,stratum,stratum,169,627,3064,3860
444,Anhelitus,anhelitus,anhelitus,168,579,1073,1820
1568,Inceratio,inceratio,inceratio,168,20,0,188
2402,Segregatio,segregatio,segregatio,167,45,175,387
831,Capitellum,capitellum,capitellum,165,187,731,1083
924,Chelidonia,chelidonia,chelidonia,165,232,85,482
1207,Eleuatio,eleuatio,eleuatio,160,1238,1675,3073
2100,Pila,pila,pila,159,1285,3064,4508
1855,Meditatio,meditatio,meditatio,157,674,8217,9048
927,Chemia,chemia,chemia,155,505,9,669
2722,Venti,uenti,uenti,155,1452,1542,3149
742,Cadmia,cadmia,cadmia,155,894,178,1227
141,Ablatio,ablatio,ablatio,153,223,957,1333
85,Liquatio,liquatio,liquatio,152,111,19,282
2540,Sublimare,sublimare,sublimare,149,40,293,482
40,Adamas,adamas,adamas,149,879,1022,2050
996,Collecta,collecta,collecta,149,1752,6972,8873
2164,Purgare,purgare,purgare,149,395,1835,2379
1129,Descendere,descendere,descendere,147,857,5117,6121
1944,Mustum,mustum,mustum,147,601,1177,1925
71,Flos aeris,flos aeris,flos aer,147,117,20,284
2263,Rubigo,rubigo,rubigo,146,355,1730,2231
2470,Somnia,somnia,somnia,144,497,3765,4406
1362,Fornacula,fornacula,fornacula,144,72,33,249
812,Caminus,caminus,caminus,142,291,2394,2827
1305,Figere,figere,figere,141,143,1114,1398
116,Reuerberatio,reuerberatio,reuerberatio,141,48,94,283
995,Colica,colica,colica,141,820,82,1043
54,Carbunculus,carbunculus,carbunculus,141,747,814,1702
12,Bitumen,bitumen,bitumen,140,1736,1137,3013
2596,Tegula,tegula,tegula,138,271,666,1075
101,Muria,muria,muria,138,675,441,1254
2294,Sal gemma,sal gemma,sal gemma,137,96,19,252
126,Testudo,testudo,testudo,135,1361,1964,3460
1923,Montes,montes,montes,134,3033,15060,18227
2078,Penetratio,penetratio,penetratio,131,159,78,368
123,Talcum,talcum,talcum,130,123,6,259
161,Acies,acies,acies,128,2024,19013,21165
486,Aqua permanens,aqua permanens,aqua permaneo,125,29,3,157
1637,Labrum,labrum,labrum,125,1705,2588,4418
6,Borax,borax,borax,125,191,18,334
1034,Coquere,coquere,coquere,124,130,258,512
500,Arabes,arabes,arabes,124,2643,1103,3870
2460,Smaragdus,smaragdus,smaragdus,124,754,807,1685
2760,Vmbilicus,umbilicus,umbilicus,122,1956,2270,4348
833,Capsa,capsa,capsa,122,279,734,1135
824,Canna,canna,canna,121,611,1241,1973
14,Descensio,descensio,descensio,120,337,887,1344
133,Cinnabaris,cinnabaris,cinnabaris,120,529,66,715
20,Gluten,gluten,gluten,119,376,432,927
900,Ceratio,ceratio,ceratio,117,54,10,181
60,Electrum,electrum,electrum,117,549,910,1576
1735,Limbus,limbus,limbus,115,5596,939,6650
1367,Fornix,fornix,fornix,114,659,922,1695
2746,Visio,uisio,uisio,114,1802,31177,33093
931,Chrysocolla,chrysocolla,chrysocolla,113,419,91,623
1342,Fodina,fodina,fodina,113,1827,94,2034
1639,Lac virginis,lac uirginis,lac uirgo,111,36,3,150
2483,Specificum,specificum,specificum,110,201,246,557
1052,Craticula,craticula,craticula,110,132,739,981
281,Alcool,alcool,alcool,109,17,1,127
2676,Tripus,tripus,tripus,108,142,449,699
1159,Domicilium,domicilium,domicilium,107,1077,4466,5650
1195,Elaboratio,elaboratio,elaboratio,106,162,90,358
1272,Fatum,fatum,fatum,106,2038,16604,18748
2557,Sulphur viuum,sulphur uiuum,sulphur uiuus,105,71,62,238
1059,Crucibulum,crucibulum,crucibulum,104,49,10,163
2226,Recrementa,recrementa,recrementa,103,245,21,369
1583,Inhumatio,inhumatio,inhumatio,103,6,1,110
1898,Microcosmus,microcosmus,microcosmus,101,157,56,314
1046,Corrosio,corrosio,corrosio,101,130,126,357
2703,Vehiculum,uehiculum,uehiculum,100,560,2113,2773
720,Bruta,bruta,bruta,99,498,1913,2510
483,Aqua Mercurii,aqua mercurii,aqua mercurius,99,22,1,122
376,Aludel,aludel,aludel,99,41,0,140
881,Cauerna,cauerna,cauerna,98,801,2747,3646
230,Ahenum,ahenum,ahenum,97,99,119,315
1983,Numus,numus,numus,96,1186,295,1577
488,Aqua pluuialis,aqua pluuialis,aqua pluuialis,96,129,140,365
2754,Vitriolum Romanum,uitriolum romanum,uitriolum romanus,95,34,0,129
2475,Spagiria,spagiria,spagiria,95,5,0,100
51,Cabala,cabala,cabala,95,68,19,182
93,Maturatio,maturatio,maturatio,95,168,60,323
1056,Cribrum,cribrum,cribrum,94,356,417,867
1707,Lateres,lateres,lateres,94,243,609,946
2280,Sal alkali,sal alkali,sal alkalis,94,59,0,153
2102,Pilos,pilos,pilos,93,883,983,1959
166,Acus,acus,acus,93,2635,2165,4893
1146,Dilutum,dilutum,dilutum,93,494,198,785
540,Artificiale,artificiale,artificiale,93,73,126,292
1562,Impressiones,impressiones,impressiones,91,197,522,810
92,Marcasita,marcasita,marcasita,90,69,2,161
2082,Periodus,periodus,periodus,90,1739,1141,2970
106,Oriens,oriens,oriens,90,2151,12642,14883
1540,Ignis calor,ignis calor,ignis calor,90,97,160,347
1592,Iris,iris,iris,90,1449,2886,4425
1525,Hyacinthus,hyacinthus,hyacinthus,90,1014,967,2071
2481,Spatula,spatula,spatula,88,148,189,425
582,Attingat,attingat,attingat,88,339,755,1182
583,Attingit,attingit,attingit,88,731,2946,3765
980,Cochlea,cochlea,cochlea,88,3159,456,3703
492,Aqua stillatitia,aqua stillatitia,aqua stillatis,87,32,0,119
1304,Fido,fido,fido,86,520,4549,5155
1411,Fusi,fusi,fusi,85,182,557,824
711,Bractea,bractea,bractea,84,286,169,539
2354,Saxa,saxa,saxa,84,1211,4763,6058
2556,Sulphur rubeum,sulphur rubeum,sulphur rubeus,84,16,10,110
2741,Viride aeris,uiride aeris,uiridis aer,83,106,5,194
110,Puteus,puteus,puteus,83,1439,7347,8869
1469,Granatus,granatus,granatus,82,578,651,1311
1354,Forceps,forceps,forceps,81,663,842,1586
2213,Ramenta,ramenta,ramenta,80,433,122,635
2535,Stridor,stridor,stridor,80,324,2312,2716
1579,Infundibulum,infundibulum,infundibulum,79,266,47,392
2009,Oleum sulphuris,oleum sulphuris,oleum sulphur,79,19,9,107
2136,Praecipitatio,praecipitatio,praecipitatio,78,183,327,588
959,Citrinatio,citrinatio,citrinatio,77,7,2,86
49,Bolus Armenus,bolus armenus,bolus armenus,77,99,17,193
2110,Pistillum,pistillum,pistillum,77,605,216,898
2687,Turbith,turbith,turbith,76,156,44,276
1880,Mercurius crudus,mercurius crudus,mercurius crudus,75,20,0,95
1645,Lacus,lacus,lacus,75,4826,10300,15201
1922,Monstra,monstra,monstra,75,511,2692,3278
2768,Vngula,ungula,ungula,74,1369,2764,4207
647,Balneum maris,balneum maris,balneum mare,73,15,3,91
214,Aes vstum,aes ustum,aes ustum,72,108,12,192
1565,In marmore,in marmore,in marmor,72,97,315,484
1949,Mysterium magnum,mysterium magnum,mysterium magnus,71,9,82,162
1222,Emunctorium,emunctorium,emunctorium,71,164,148,383
512,Arcus,arcus,arcus,71,14054,9662,23787
1384,Fumus albus,fumus albus,fumus albus,71,21,2,94
868,Catillus,catillus,catillus,70,297,47,414
1075,Cuniculus,cuniculus,cuniculus,69,1098,515,1682
2315,Sal tartari,sal tartari,sal tarto,69,95,14,178
1651,Lamina ferrea,lamina ferrea,lamina ferreus,69,111,83,263
1071,Cultellus,cultellus,cultellus,69,212,1034,1315
2260,Rub,rub,rub,69,111,20,200
525,Argenti spuma,argenti spuma,argentum spuma,68,135,34,237
2134,Porrum,porrum,porrum,68,800,749,1617
2413,Separatio elementorum,separatio elementorum,separatio elementum,68,5,10,83
2270,Saccus,saccus,saccus,68,428,3161,3657
1755,Lithargyrus,lithargyrus,lithargyrus,67,155,8,230
1234,Erysipelas,erysipelas,erysipelas,67,540,29,636
1737,Limus,limus,limus,66,726,3530,4322
908,Cerusa,cerusa,cerusa,65,131,72,268
514,Area,area,area,64,3679,7261,11004
1467,Gradatio,gradatio,gradatio,64,45,143,252
1140,Diaphoreticum,diaphoreticum,diaphoreticum,63,59,10,132
630,Azoth,azoth,azoth,63,23,2,88
2243,Restinctio,restinctio,restinctio,63,9,2,74
124,Terra rubea,terra rubea,terra rubeus,62,35,8,105
68,Filtratio,filtratio,filtratio,62,49,21,132
1753,Lithargyrium,lithargyrium,lithargyrium,61,103,6,170
1738,Lintea,lintea,lintea,61,269,479,809
572,Athanor,athanor,athanor,61,35,5,101
2498,Spodius,spodius,spodius,60,55,0,115
2668,Transuersum,transuersum,transuersum,60,837,281,1178
2775,Vritur,uritur,uritur,60,198,644,902
1488,Gypsum,gypsum,gypsum,59,334,288,681
2163,Pumex,pumex,pumex,59,329,543,931
2185,Pyrotechnia,pyrotechnia,pyrotechnia,58,14,0,72
179,Adeps,adeps,adeps,58,948,3160,4166
2421,Septum,septum,septum,58,1132,1041,2231
114,Realgar,realgar,realgar,57,33,1,91
2772,Volans,uolans,uolans,57,243,655,955
890,Cementatio,cementatio,cementatio,57,6,0,63
998,Colliquatio,colliquatio,colliquatio,57,172,36,265
420,Amalgamatio,amalgamatio,amalgamatio,56,23,2,81
2096,Phoenix,phoenix,phoenix,55,883,1245,2183
1478,Grus,grus,grus,55,4562,503,5120
993,Colcotar,colcotar,colcotar,55,30,0,85
1643,Lacuna,lacuna,lacuna,54,503,1047,1604
877,Caua,caua,caua,54,1957,800,2811
1740,Liquatum,liquatum,liquatum,54,114,70,238
981,Cochleare,cochleare,cochleare,54,61,38,153
1296,Feruere,feruere,feruere,54,102,389,545
1657,Lanx,lanx,lanx,53,963,2039,3055
885,Cauterium,cauterium,cauterium,53,140,383,576
2536,Struma,struma,struma,52,516,491,1059
2696,Vas fictile,uas fictile,uas fictilis,52,97,894,1043
1571,Incorporatio,incorporatio,incorporatio,52,24,114,190
2526,Stipes,stipes,stipes,52,1053,2156,3261
1951,Nacta,nacta,nacta,52,300,617,969
1356,Fores,fores,fores,51,358,4240,4649
496,Aquarius,aquarius,aquarius,51,1433,725,2209
2419,Septentrio,septentrio,septentrio,51,2761,3554,6366
115,Rebis,rebis,rebis,51,30,3,84
2016,Operarius,operarius,operarius,50,506,4274,4830
1023,Constellatio,constellatio,constellatio,50,724,586,1360
1421,Gangraena,gangraena,gangraena,50,511,75,636
2750,Vitrificatio,uitrificatio,uitrificatio,50,29,2,81
2123,Plumbum nigrum,plumbum nigrum,plumbum niger,49,59,21,129
2188,Quadratum,quadratum,quadratum,49,4847,5356,10252
2445,Siliqua,siliqua,siliqua,49,1395,716,2160
601,Aurum Philosophorum,aurum philosophorum,aurum philosophus,49,15,0,64
844,Cardanum,cardanum,cardanum,48,408,22,478
1039,Cornelius,cornelius,cornelius,48,1265,5443,6756
2264,Rubrica,rubrica,rubrica,48,517,1353,1918
1372,Fossor,fossor,fossor,48,324,514,886
1153,Distractio,distractio,distractio,47,165,268,480
2621,Terra foliata,terra foliata,terra foliatus,47,41,1,89
2138,Praesagium,praesagium,praesagium,47,488,1473,2008
1521,Horizon,horizon,horizon,47,6676,282,7005
1380,Fulminatio,fulminatio,fulminatio,46,16,14,76
1228,Epar,epar,epar,46,216,288,550
603,Aurum vitae,aurum uitae,aurum uita,46,5,22,73
24,Leo viridis,leo uiridis,leo uiridis,45,17,8,70
59,Diuaporatio,diuaporatio,diuaporatio,45,5,1,51
2600,Temperatura,temperatura,temperatura,45,627,181,853
2497,Spodium,spodium,spodium,45,263,43,351
2626,Terra sigillata,terra sigillata,terra sigillo,44,128,25,197
2435,Siccare,siccare,siccare,44,117,223,384
482,Aqua marina,aqua marina,aqua marinus,44,387,240,671
2299,Sal marinus,sal marinus,sal marinus,44,67,10,121
2476,Spagirus,spagirus,spagirus,43,2,0,45
1359,Formae rerum,formae rerum,forma res,43,109,809,961
954,Circulatorium,circulatorium,circulatorium,43,17,3,63
2257,Rotae,rotae,rotae,42,490,1322,1854
971,Coadunatio,coadunatio,coadunatio,42,25,205,272
66,Ferrugo,ferrugo,ferrugo,41,139,218,398
1158,Dolet,dolet,dolet,41,323,4479,4843
2493,Spiritus animalis,spiritus animalis,spiritus animal,41,483,621,1145
2429,Serpentina,serpentina,serpentina,41,52,222,315
2464,Solarium,solarium,solarium,40,630,799,1469
188,Adolescens,adolescens,adolescens,40,380,6099,6519
2501,Sponsus,sponsus,sponsus,40,276,10874,11190
1758,Locusta,locusta,locusta,40,1704,2889,4633
1044,Corpus physicum,corpus physicum,corpus physicus,39,29,82,150
1033,Conum,conum,conum,39,648,307,994
1921,Monetarius,monetarius,monetarius,39,65,222,326
1001,Coloritium,coloritium,coloritium,39,5,0,44
2459,Situla,situla,situla,38,155,449,642
2339,Sanguinea,sanguinea,sanguinea,38,667,424,1129
1542,Ignis elementaris,ignis elementaris,ignis elementaris,38,46,17,101
2361,Saxifragia,saxifragia,saxifragia,38,106,5,149
912,Chalcitis,chalcitis,chalcitis,38,251,141,430
1322,Flammula,flammula,flammula,38,232,76,346
589,Aurichalcum,aurichalcum,aurichalcum,38,180,345,563
1360,Formicae,formicae,formicae,37,428,387,852
861,Catena,catena,catena,37,769,5284,6090
2111,Pix liquida,pix liquida,pix liquidus,37,176,47,260
432,Ampulla vitrea,ampulla uitrea,ampulla uitreus,37,32,22,91
112,Pyrites,pyrites,pyrites,37,300,38,375
1027,Contractio,contractio,contractio,37,1252,1047,2336
1403,Furnus panis,furnus panis,furnus panis,37,17,0,54
1491,Haemorrhoides,haemorrhoides,haemorrhoides,37,299,44,380
1912,Modulus,modulus,modulus,36,686,2834,3556
2091,Phantasmata,phantasmata,phantasmata,36,113,2101,2250
2539,Subductio,subductio,subductio,35,164,79,278
2140,Praeses,praeses,praeses,35,903,6805,7743
1439,Geometria,geometria,geometria,35,1681,1761,3477
2508,Squama ferri,squama ferri,squama fero,35,37,9,81
2423,Serapinus,serapinus,serapinus,35,47,2,84
487,Aqua philosophica,aqua philosophica,aqua philosophicus,35,4,0,39
36,Tympanum,tympanum,tympanum,34,803,2243,3080
1006,Comminutio,comminutio,comminutio,34,43,39,116
2101,Pilae,pilae,pilae,34,410,314,758
95,Mercurius metallorum,mercurius metallorum,mercurius metallum,34,21,1,56
1072,Cuneus,cuneus,cuneus,33,516,2546,3095
42,Alcohol,alcohol,alcohol,33,124,4,161
88,Lumbrici,lumbrici,lumbrici,33,483,45,561
1559,Imbibere,imbibere,imbibere,33,29,40,102
1804,Magnalia,magnalia,magnalia,33,35,1506,1574
1968,Nigella,nigella,nigella,32,214,100,346
2726,Venula,uenula,uenula,32,274,60,366
2059,Palus,palus,palus,32,1851,5051,6934
2837,Aqua coelestis,aqua coelestis,aqua coelestis,32,37,33,102
2588,Talpa,talpa,talpa,31,644,495,1170
1599,Iussa,iussa,iussa,31,94,2645,2770
2335,Sandaracha,sandaracha,sandaracha,30,219,29,278
2174,Pyramis,pyramis,pyramis,30,1788,1928,3746
84,Laton,laton,laton,30,32,18,80
2721,Venter equi,uenter equi,uenter equus,30,20,10,60
579,Atramentum sutorium,atramentum sutorium,atramentum sutorius,30,286,39,355
2406,Sella,sella,sella,30,347,2317,2694
175,Additamenta,additamenta,additamenta,30,117,158,305
1252,Excoctor,excoctor,excoctor,30,90,0,120
2495,Spiritus foetens,spiritus foetens,spiritus foeteo,29,9,0,38
2148,Principia chymica,principia chymica,principium chymicus,29,54,0,83
127,Tignum,tignum,tignum,29,624,752,1405
947,Cinis clauellatus,cinis clauellatus,cinis clauellatus,29,52,7,88
23,Lapis maior,lapis maior,lapis magnus,29,47,222,298
745,Cal,cal,cal,29,778,761,1568
2472,Sorores,sorores,sorores,29,211,4117,4357
2024,Oppodeltoch,oppodeltoch,oppodeltoch,28,3,0,31
1992,Ochra,ochra,ochra,28,346,40,414
