,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
196,Aduersa venae pars,aduersa uenae pars,aduerto uena pars,0,3,0,3
195,Adsamar,adsamar,adsamar,0,2,0,2
194,Adropistazar,adropistazar,adropistazar,0,1,0,1
193,Adrariges,adrariges,adrariges,0,1,0,1
239,Alachaschec,alachaschec,alachaschec,0,2,0,2
1055,Cribratorium,cribratorium,cribratorium,0,2,0,2
1455,Gitenon,gitenon,gitenon,0,1,0,1
1454,Gisisim,gisisim,gisisim,0,2,0,2
1468,Graeca magia,graeca magia,graecus magia,0,2,0,2
1466,Gosel,gosel,gosel,0,2,0,2
1465,Gobeira,gobeira,gobeira,0,2,0,2
1057,Cribrum rotundatum,cribrum rotundatum,cribrum rotundatus,0,4,0,4
1463,Gniest,gniest,gniest,0,4,0,4
1413,Fusio per antimonium,fusio per antimonium,fusio per antimonium,0,3,0,3
1410,Furogi,furogi,furogi,0,1,0,1
2803,Zaibac,zaibac,zaibac,0,2,0,2
1408,Furnus ventosus,furnus uentosus,furnus uentosus,0,3,0,3
1407,Furnus tectus aut,furnus tectus aut,furnus tego aut,0,1,0,1
1406,Furnus siccus,furnus siccus,furnus siccus,0,1,1,2
1417,Galactites,galactites,galactites,0,57,8,65
1416,Gala,gala,gala,0,202,873,1075
1415,Gagas,gagas,gagas,0,43,3,46
1414,Fyada,fyada,fyada,0,1,0,1
1429,Gemma Beryllus,gemma beryllus,gemma beryllus,0,1,0,1
1426,"Gecharsun, difdaha","gecharsun, difdaha",gecharsun difdaha,0,0,0,0
1425,Gebalum,gebalum,gebalum,0,2,1,3
1424,Gaza fumi,gaza fumi,gaza fumus,0,1,0,1
1409,Furnus vesicae,furnus uesicae,furnus uesicus,0,1,0,1
1490,Hadid,hadid,hadid,0,4,7,11
1489,Gypsum candidissimum,gypsum candidissimum,gypsus candidus,0,1,0,1
1487,Gutteo,gutteo,gutteo,0,1,2,3
1501,Harpago,harpago,harpago,0,59,48,107
1064,Crystallus multiplex,crystallus multiplex,crystallus multiplex,0,1,0,1
1498,Harmat,harmat,harmat,0,2,0,2
1065,Cubil,cubil,cubil,0,3,3,6
1495,Halimar,halimar,halimar,0,2,0,2
1494,Halcyonium,halcyonium,halcyonium,0,28,5,33
1445,Gibum,gibum,gibum,0,4,3,7
1066,Cuculatum,cuculatum,cuculatum,0,2,1,3
1458,Glassa,glassa,glassa,0,6,0,6
1068,Cucurbita agrestis,cucurbita agrestis,cucurbita agrestis,0,6,7,13
1440,Gerhulle,gerhulle,gerhulle,0,3,0,3
1453,Girmer,girmer,girmer,0,2,0,2
1452,Girgies,girgies,girgies,0,2,0,2
1451,"Gir, Gith","gir, gith",gir gith,0,0,0,0
1069,Cucurbita coeca,cucurbita coeca,cucurbita coecus,0,2,0,2
1054,Creta nigra,creta nigra,creta niger,0,6,0,6
1446,"Gich, Gepsin","gich, gepsin",gich gepsin,0,0,0,0
1461,Gluta vis tenacis,gluta uis tenacis,gluo uis tenax,0,1,0,1
1460,Glomer,glomer,glomer,0,5,5,10
1459,Glisomargo,glisomargo,glisomargo,0,2,0,2
1442,Gesor,gesor,gesor,0,4,3,7
1400,Furnus coementatorius,furnus coementatorius,furnus coementatorius,0,1,0,1
1398,Furnus balnei,furnus balnei,furnus balneum,0,2,0,2
1349,Fom,fom,fom,0,17,4,21
1347,Folles spiritales,folles spiritales,follis spiritalis,0,1,0,1
1346,Folia daturae,folia daturae,folium datur,0,2,0,2
1344,Foenix vel phoenix,foenix uel phoenix,foenix uel phoenix,0,1,0,1
621,Azegi arec,azegi arec,azegus arec,0,1,0,1
